"","School.URN","School.Name","Year.6.count.NCMP","Any.other.ethnic.group","Asian","Black","Chinese","Mixed","Not.stated","White","Ethinicity..not.provided","Pupil.Index.Of.Multiple.Deprivation.Score","Pupil.Index.Of.Multiple.Deprivation.Decile","Very.Overweight.Prevalance...."
"189",113495,"School_189","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",12.02,4,"0.0%"
"190",145252,"School_190","15","","*","*","","","","11","*",7.7,6,"6.7%"
"191",137528,"School_191","60","","","","","*","","58","",5.23,1,"5.0%"
"192",137662,"School_192","6","","","","","","","*","*",7.72,4,"16.7%"
"193",137651,"School_193","13","","","","","","","13","",12.02,4,"0.0%"
"194",113107,"School_194","9","","","","","","","9","",6.4,4,"0.0%"
"195",113108,"School_195","61","","*","","","*","*","52","",6.91,5,"8.2%"
"196",142803,"School_196","31","","","","*","","","30","",7.13,2,"6.5%"
"197",113262,"School_197","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",5.05,7,"0.0%"
"198",113166,"School_198","12","","","","","","","12","",23.48,4,"25.0%"
"199",145907,"School_199","27","","*","","","*","","25","",4.32,4,"0.0%"
"200",113167,"School_200","7","","","","","*","","6","",20.31,3,"0.0%"
"201",113109,"School_201","8","","","","","*","","7","",8.61,5,"0.0%"
"202",137649,"School_202","27","","","","","","","27","",3.55,6,"25.9%"
"203",143183,"School_203","73","*","*","*","","*","*","66","",4.68,3,"8.2%"
"204",113365,"School_204","17","","","","","","","17","",13.4,7,"5.9%"
"205",137647,"School_205","27","","","","","","*","25","",2.57,4,"3.7%"
"206",113168,"School_206","37","","*","*","","","","34","",13.89,2,"18.9%"
"207",113454,"School_207","28","*","","","","","","27","",8.99,3,"14.3%"
"208",145335,"School_208","29","","","","","","*","27","",13.14,4,"10.3%"
"209",113139,"School_209","61","*","*","","","*","*","55","",7.02,2,"4.9%"
"210",139795,"School_210","14","","","","","*","","13","",2.57,4,"7.1%"
"211",113124,"School_211","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",15.97,6,"0.0%"
"212",113479,"School_212","30","","","*","","*","","28","",6.05,4,"20.0%"
"213",141527,"School_213","24","","","","","","","24","",9.94,4,"16.7%"
"214",142183,"School_214","48","","5","*","","*","","40","",6.55,4,"20.8%"
"215",113463,"School_215","15","","","","","","","15","",4.84,5,"26.7%"
"216",142559,"School_216","16","*","*","","","*","","11","",3.7,2,"12.5%"
"217",142802,"School_217","22","*","","","","","","21","",6.81,3,"13.6%"
"218",113165,"School_218","14","","","","","*","","13","",26.08,3,"21.4%"
"219",145769,"School_219","29","","*","","","","","28","",9.41,4,"6.9%"
"220",140761,"School_220","16","","*","","","","","16","",12.92,3,"0.0%"
"221",140762,"School_221","20","","","","*","","*","17","",8.92,3,"0.0%"
"222",140765,"School_222","24","*","","","","*","","21","",7.28,2,"12.5%"
"223",140766,"School_223","18","","","","","","","18","",3.07,3,"5.6%"
"224",142596,"School_224","90","*","*","*","*","7","*","71","*",3.99,2,"2.2%"
"225",150075,"School_225","57","*","*","*","","*","","52","",9.41,2,"10.5%"
"226",113351,"School_226","61","*","*","","","*","*","55","",4.11,2,"11.5%"
"227",140772,"School_227","17","","","","","","","17","",8.93,2,"5.9%"
"228",140774,"School_228","13","","","","","*","","11","",10.01,3,"15.4%"
"229",113385,"School_229","76","","","","*","*","","74","",6.16,2,"13.2%"
"230",139818,"School_230","59","*","*","*","*","*","","50","",4.11,2,"11.9%"
"231",113407,"School_231","62","","","","","","*","61","",5.23,4,"16.1%"
"232",139394,"School_232","36","*","*","*","","*","","28","",4.11,2,"0.0%"
"233",142045,"School_233","26","","","","","*","","25","",4.28,4,"3.8%"
"234",113425,"School_234","48","","","","","*","*","45","",3.07,3,"0.0%"
"235",149403,"School_235","30","*","*","*","","*","*","17","*",3.7,2,"6.7%"
